Time/s,Azimuth/deg,Zenith/deg
1466,-13.06000000,47.92200000
1467,-14.51000000,46.94700000
1468,-15.97000000,45.94900000
1469,-12.98000000,48.96900000
1470,-14.36000000,47.97100000
1471,-15.77000000,46.94800000
1472,-17.18000000,45.90200000
1473,-14.33000000,49.06300000
1474,-15.67000000,48.02000000
1475,-17.02000000,46.95000000
1476,-18.39000000,45.85500000
1477,-15.68000000,49.15500000
1478,-16.97000000,48.06800000
1479,-18.27000000,46.95200000
1480,-19.59000000,45.81000000
1481,-17.03000000,49.24700000
1482,-18.28000000,48.11600000
1483,-19.53000000,46.95500000
1484,-20.80000000,45.76500000
1485,-18.39000000,49.33800000
1486,-19.58000000,48.16300000
1487,-20.78000000,46.95800000
1488,-22.00000000,45.72100000
1489,-19.74000000,49.42700000
1490,-20.88000000,48.21000000
1491,-22.04000000,46.96100000
1492,-23.20000000,45.67900000
1493,-21.10000000,49.51600000
1494,-22.19000000,48.25700000
1495,-23.29000000,46.96500000
1496,-24.40000000,45.63700000
1497,-22.46000000,49.60300000
1498,-23.49000000,48.30400000
1499,-24.54000000,46.96900000
1500,-25.60000000,45.59600000
1501,-23.81000000,49.68900000
1502,-24.80000000,48.35000000
1503,-25.79000000,46.97300000
1504,-26.79000000,45.55700000
1505,-25.17000000,49.77400000
